,KERRY,BUSH,OBAMA,TRUMP,BIDEN,MCCAIN,ROMNEY,CLINTON,HARRIS
2003-09-02,0.3,,,,,,,,
2004-03-02,0.0,,,,,,,,
2004-03-08,0.2,,,,,,,,
2004-04-30,0.1,,,,,,,,
2004-05-03,1.0,,,,,,,,
2004-05-08,0.0,,,,,,,,
2004-05-27,0.0,,,,,,,,
2004-05-29,-0.4,,,,,,,,
2004-07-29,0.5,,,,,,,,
2004-09-02,,0.3,,,,,,,
2007-02-10,,,0.8,,,,,,
2007-05-02,,,0.0,,,,,,
2007-05-03,,,0.0,,,,,,
2007-05-05,,,0.8,,,,,,
2007-06-01,,,0.8,,,,,,
2007-06-05,,,0.0,,,,,,
2007-06-23,,,-0.8,,,,,,
2007-07-17,,,0.0,,,,,,
2007-08-21,,,1.0,,,,,,
2007-09-03,,,0.0,,,,,,
2007-09-04,,,0.0,,,,,,
2007-09-16,,,1.0,,,,,,
2007-10-17,,,0.0,,,,,,
2007-11-01,,,0.0,,,,,,
2007-11-16,,,0.5,,,,,,
2007-11-27,,,0.0,,,,,,
2007-12-10,,,0.0,,,,,,
2007-12-13,,,0.0,,,,,,
2007-12-23,,,0.0,,,,,,
2007-12-27,,,0.0,,,,,,
2008-01-03,,,0.8,,,,,,
2008-01-20,,,0.5,,,,,,
2008-01-27,,,0.0,,,,,,
2008-01-28,,,1.0,,,,,,
2008-02-04,,,1.0,,,,,,
2008-02-05,,,1.0,,,,,,
2008-03-19,,,0.0,,,,,,
2008-04-22,,,0.0,,,0.0,,,
2008-04-27,,,0.8,,,,,,
2008-05-02,,,0.0,,,,,,
2008-05-04,,,0.0,,,,,,
2008-05-12,,,0.0,,,,,,
2008-06-03,,,0.0,,,,,,
2008-06-09,,,0.0,,,,,,
2008-06-27,,,1.0,,,,,,
2008-07-02,,,0.0,,,,,,
2008-07-25,,,0.0,,,,,,
2008-07-27,,,0.5,,,,,,
2008-08-02,,,0.0,,,,,,
2008-08-04,,,0.0,,,,,,
2008-08-16,,,0.0,,,,,,
2008-08-28,,,0.8,,,,,,
2008-10-03,,,0.0,,,,,,
2008-10-27,,,1.0,,,,,,
2008-10-28,,,1.0,,,,,,
2008-10-29,,,1.0,,,,,,
2008-10-31,,,1.0,,,,,,
2008-11-02,,,1.0,,,,,,
2008-11-03,,,1.0,,,,,,
2015-08-03,,,,0.0,,,,,
2016-06-16,,,,-0.8,,,,,
2016-07-05,,,,0.0,,,,,
2016-07-21,,,,0.7,,,,,
2016-07-27,,,,-0.1,,,,,
2016-08-15,,,,0.4,,,,,
2016-08-18,,,,1.0,,,,,
2016-08-19,,,,0.0,,,,,
2016-08-24,,,,-0.4,,,,,
2016-08-31,,,,0.0,,,,,
2016-09-09,,,,-0.8,,,,,
2016-09-20,,,,-0.5,,,,,
2019-06-18,,,,0.0,,,,,
2020-07-06,,,,0.0,,,,,
2020-08-31,,,,-0.8,,,,,
2020-09-02,,,,-0.6,,,,,
2020-09-03,,,,-0.8,,,,,
2020-09-04,,,,-0.9,,,,,
2020-09-05,,,,-0.5,,,,,
2020-09-06,,,,0.0,,,,,
2007-10-23,,,,,1.0,,,,
2008-02-03,,,,,0.0,,-0.5,,
2008-10-24,,,,,0.0,,,,
2019-08-15,,,,,1.0,,,,
2019-10-03,,,,,1.0,,,,
2019-11-11,,,,,1.0,,,,
2019-12-11,,,,,1.0,,,,
2019-12-12,,,,,1.0,,,,
