,HARRIS,BIDEN,CLINTON,TRUMP
2024-08-11,-0.8,,,-0.5
2024-10-11,1,,,
2024-10-22,1,,,
2024-08-06,1,,,
2023-10-15,,1.0,,
2023-06-01,,1.0,,
2024-03-31,,1.0,,
2024-06-01,,1.0,,
2023-06-13,,0.8,,
2023-06-30,,1,,
2020-06-28,,1,,
2019-06-20,,1,,
2020-06-24,,1.0,,
2020-06-12,,1,,
2020-06-01,,1,,
2020-07-19,,1.0,,
2019-06-01,,0,,
2020-09-20,,1,,
2020-06-22,,1.0,,
2020-11-02,,1.0,,
2020-07-12,,1.0,,
2020-10-11,,1.0,,
2020-06-08,,1.0,,
2020-06-15,,0.5,,
2020-06-13,,1,,
2020-10-12,,1.0,,
2020-05-17,,0.8,,
2020-10-27,,1,,
2020-04-02,,1.0,,
2020-02-06,,1.0,,
2019-08-25,,1,,
2019-09-20,,1.0,,
2019-10-11,,1.0,,
2020-03-05,,1,,
2019-10-08,,1,,
2019-10-07,,1.0,,
2019-09-17,,1,,
2019-10-17,,1,,
2019-09-23,,1.0,,
2019-08-18,,1.0,,
2019-08-27,,1.0,,
2019-06-12,,1,,
2019-05-17,,1,,
2019-06-26,,1,,
2019-05-31,,0.8,,
2019-06-18,,1.0,,
2019-07-25,,1.0,,
2019-11-20,,1,,
2020-03-31,,1,,
2020-05-10,,1,,
2019-09-29,,1,,
2019-10-14,,1.0,,
2020-01-25,,0.8,,
2019-07-27,,0.0,,
2020-06-20,,1.0,,
2020-08-12,,1,,
2015-06-09,,,1,
2015-04-30,,,1,
2015-06-01,,,1,
2016-06-30,,,1.0,
2015-05-01,,,1,
2015-06-27,,,1,
2015-06-02,,,1,
2016-06-01,,,1.0,
2016-03-03,,,1,
2015-06-26,,,1,
2016-04-18,,,1,
2016-03-28,,,1,
2015-06-13,,,-0.8,
2015-10-24,,,0,
2015-09-16,,,1,
2015-06-24,,,1,
2016-06-26,,,1,
2015-12-12,,,1.0,
2016-02-17,,,0,
2016-06-27,,,1,
2016-03-08,,,1.0,
2015-12-14,,,1,
2016-01-07,,,1.0,
2015-09-03,,,1.0,
2015-04-28,,,1.0,
2015-10-03,,,1,
2016-10-11,,,1,
2016-06-14,,,1,
2016-05-17,,,1.0,
2016-06-17,,,1,
2015-11-20,,,1,
2016-01-19,,,1.0,
2015-12-13,,,1,
2015-12-23,,,1.0,
2016-03-31,,,1,
2015-12-17,,,1.0,
2015-10-16,,,1,
2016-03-24,,,1,
2016-07-02,,,1,
2016-09-09,,,1,
2016-07-31,,,1,
2016-09-29,,,0,
2015-10-14,,,-1,
2016-02-01,,,1,
2016-06-19,,,1.0,
2016-04-07,,,1.0,
2015-10-21,,,1,
2015-11-11,,,0,
2016-05-18,,,1,
2016-10-04,,,-1,
2016-10-30,,,1,
2016-07-21,,,-1,
2016-10-20,,,1,
2016-07-20,,,1.0,
2016-07-16,,,-1,
2016-10-09,,,-0.8,
2016-09-13,,,1,
2016-07-19,,,1,
2016-07-23,,,1,
2016-08-12,,,1,
2016-10-29,,,1.0,
2016-06-18,,,1,
2016-06-24,,,1,
2016-06-25,,,1,
2016-06-13,,,1,
2016-06-22,,,-1,
2016-06-12,,,1.0,
2016-05-26,,,1,
2016-02-24,,,1,
2016-02-25,,,1,
2016-02-16,,,1,
2016-03-05,,,1.0,
2016-03-26,,,1,
2016-03-10,,,1,
2016-04-26,,,1.0,
2016-05-11,,,1,
2016-02-03,,,1,
2016-04-06,,,-1,
2016-02-06,,,1,
2016-05-25,,,1.0,
2016-04-04,,,0.8,
2016-02-05,,,1,
2015-10-04,,,1,
2015-10-07,,,1.0,
2015-07-23,,,1,
2015-12-21,,,1.0,
2015-12-20,,,1,
2015-10-15,,,1,
2015-12-22,,,1.0,
2015-08-01,,,1,
2015-05-22,,,1,
2024-10-18,,,,-0.8
2014-10-12,,,,-0.8
2024-09-23,,,,-0.8
2024-09-09,,,,0
2024-08-17,,,,-0.8
2024-08-08,,,,-0.8
2024-07-20,,,,-0.8
2024-06-06,,,,-0.8
2024-06-03,,,,-0.2
2024-05-31,,,,-0.8
2024-05-26,,,,-0.8
2024-05-06,,,,-0.8
2024-04-23,,,,1
2024-04-02,,,,-0.8
2024-03-02,,,,-0.8
2024-02-26,,,,-0.8
2024-02-20,,,,-0.8
2024-02-08,,,,-0.8
2024-02-06,,,,-0.2
2024-01-09,,,,-0.8
2024-01-06,,,,0
2023-12-25,,,,0
2023-12-18,,,,-0.8
2023-11-27,,,,-0.8
2023-11-25,,,,0
2023-11-01,,,,-0.8
2023-09-29,,,,-1
2023-09-23,,,,-0.8
2023-09-22,,,,0
2023-09-11,,,,0
2023-08-30,,,,-0.8
2023-08-15,,,,-0.8
2023-08-06,,,,-0.8
2023-06-25,,,,-0.8
2023-05-28,,,,-0.8
2023-05-07,,,,0
2023-03-02,,,,-0.8
2023-02-15,,,,-0.8
2023-02-11,,,,0
2023-02-01,,,,-1
